"","Age range","n_2019","n_2020","n_2021","n_2022","freq_2019","freq_2020","freq_2021","freq_2022"
"1","10-17",456,784,523,225,0.0794563512807109,0.0750311034548761,0.0653341661461587,0.0815808556925308
"2","18-24",2048,3630,2582,820,0.356856595225649,0.347401665231123,0.322548407245472,0.297316896301668
"3","25-34",1524,2618,2012,702,0.265551489806586,0.250550291893961,0.251342910680824,0.254532269760696
"4","over 34",1214,2414,2144,734,0.211535110646454,0.231026892525601,0.267832604622111,0.266134880348078
"5","under 10",4,3,5,NA,0.000696985537550096,0.000287108814240597,0.000624609618988132,NA
"6",NA,493,1000,739,277,0.0859034675030493,0.0957029380801991,0.092317301686446,0.100435097897027
