"","Gender","n_2019","n_2020","n_2021","n_2022","freq_2019","freq_2020","freq_2021","freq_2022"
"1","Female",572,1076,886,325,0.0996689318696637,0.102976361374294,0.110680824484697,0.1178390137781
"2","Male",4387,7882,6317,2197,0.764418888308068,0.754330557948129,0.789131792629607,0.796591733139956
"3","Other",5,23,16,7,0.00087123192193762,0.00220116757584458,0.00199875078076202,0.00253807106598985
"4",NA,775,1468,786,229,0.135040947900331,0.140491913101732,0.0981886321049344,0.0830311820159536
