"","race","n_2019","n_2020","n_2021","n_2022","freq_2019","freq_2020","freq_2021","freq_2022"
"1","Asian",510,919,814,257,0.0888656560376372,0.0879510000957029,0.101686445971268,0.093183466279913
"2","Black",873,1385,867,283,0.152117093570308,0.132548569241076,0.108307307932542,0.102610587382161
"3","Mixed",221,353,283,93,0.0385084509496428,0.0337831371423103,0.0353529044347283,0.0337200870195794
"4","Other",993,1997,1473,465,0.173026659696811,0.191118767346158,0.184009993753904,0.168600435097897
"5","White",3092,5724,4500,1628,0.538769820526224,0.547803617571059,0.562148657089319,0.590282813633067
"6",NA,50,71,68,32,0.0087123192193762,0.00679490860369413,0.0084946908182386,0.0116026105873822
